label,text
negative,"My parents taught me \"when you don't have something nice to say then don't say anything at all.\"\n\nYelp has taught me \"when you don't have something nice to say tell it like it is.\"\n\nSorry mom and dad Yelp FTW!\n\nI like my restaurants how I like my style un-cramped; unfortunately this place is packed full with wall to wall tables and chairs leaving about 3 inches in between you and the guy at the table next to you. Don't plan to come here during the lunch rush with a big group you're lucky if you can fit one or two people through the door. The parking isn't that appealing either you are practically parked in the middle of 16th street traffic. :-\/\n\nLa Condesa makes a pretty good taco and their salsa ain't bad either. To their benefit they do have some fairly unique salsa's to choose from such as strawberry peanut and pecan; but in my opinion unique doesn't necessarily = awesome. Any of their tacos will do you right but my favorite is their pork.  \n\nIn my opinion and lets face it if you're reading my review that's exactly what you're looking for right? La Condesa over stated when they went with Gourmet in the name. Sure everybody likes their taco's but who wants to pay $9 for two tacos and leave feeling like they were packed in like sardines in the middle of a seedy neighborhood? If it isn't obvious yet I don't plan on coming back soon I can take or leave their salsas and tacos and wouldn't be bothered either way.\n\nHappy Yelping Phoenix hope you find that hidden taco gem you've always been searching for."
negative,"I booked airport shuttle service for me and my husband through Vegas.com. it seemed like an economical way to get from the airport to our hotel and back again. Also we pre-paid so I thought one less expense to worry about. \nOn my past trips to Vegas it was always for business and the cab lines can get long. \n\nOnce arriving on our flight and after baggage you go to their location right outside baggage. There was a line you show them your paper work and we were than given our vouchers. Than we cross over to the median where there is a van partialed filled with people. We need to wait for a different van. Once it arrives they take our vouchers and we wait for the van to fill. Soon within another 15-20 minutes we take off. \n\nSince Hard Rock is closest Hotel to the Airport we are dropped off first. Ok at this point I access slow but ok no problem. Now to return to the Airport you must call to reserve 24 hours in advance. So from a distance I say that is how they must get you.  Here you are in Vegas and now I got to worry about calling in 2 days on time. \n\nSo two days go by no problem I make my reservation. The day of my flight Jet Blue cancels my flight so we make alternate plans. This causes us to than have to change our shuttle pickup. So we call change however please note they pick you up three hours before your flight. No worries I don't mind getting there early. However they have you wait outside your hotel. For us Floridians waiting in freezing temperatures no bueno. Waiting for an hour outside in freezing temperatures only to be told the 4 times you called that the van is on it's way is ridiculous.  I will NEVER again take this service."
negative,"What happened to you Rain!? You're like a celebrity once glamorous and incredibly popular but that has fallen into obscurity. You used to be the posh spot the happenin' talk of the town... but now you're overused dirty discarded. \n\nThis review is long overdue and almost joined Rain by also falling into obscurity.\n\nThe layout is still cool the music still poppin' but never in my life have I come across SO MANY ROAMING HANDS in one place. How shady can a place be such that at least 75% of the male population is trying to violate the females?!? I'd be dancing and suddenly a hand had appeared up my skirt and all the way up my thigh. I immediately moved away and noticed my lady friends were undergoing the same horror from other men. \n\nI was uncomfortable on the dance floor and that NEVER happens. I love to dance and meet people and have a great time but I'm not about to put myself out there for THAT. Gross!\n\nLet's just say I won't be back. Ever. Unless they have a successful Perv Purge movement.\n\nDATE TIP: Fellas let me break it down for you. Women typically don't appreciate random hands up their skirts. At least buy them a drink first! Ha."
negative,"Holy cow! One of the worst clubs in Vegas!\n\nWe came here one night because my girl wanted to go clubbing and none of the clubs I liked was open so we dragged our behinds here after dinner to get the party started. My hookup was f* awesome and got us in right away and gave us free drinks he rocks and always takes care of me in LV. However the club turned out to be a complete disaster! \n\nThe club was teeny tiny and when we got there it was already super packed and they were still letting more people in. There's not much of a dance floor and everyone was shaking it wherever. The average age of the crowd was eleven-teen and the majority of the boys hadn't even developed facial hair yet and they were mostly intoxicated much much beyond their tolerance. My girl and I were both constantly grabbed by these Justin Bieber wannabe's which is inappropriate and disgusting. It was only 11pm and there were already tons of little girls vomiting in the bathroom! The music was pretty good but the crowd absolutely sucked!!! \n\nNever coming back again!"
negative,"Let me get right to the point.  I disdain this nightclub.  I'm not typically the \"nightclub\" type of guy but I do dance.  PURE in Caesar's Palace embodies everything I hate about big nightclubs.\n\nFor one the people that go there and the employees are pretentious.  Now I'm not the kind of guy that has legit game in everyday life. But hey sometimes I get lucky!  In a club however I have no game.  No \"club game\" as I like to call it.\n\nThis review is not about how I had no game at a club called PURE.  This review is about the compactness of the club the attitude of the bouncers and the type of people that typically frequent this club.\n\nI was here for a bachelor party for my buddy John.  The posse in total reached 12 of us. We were all fortunate to have the groom's cousin -- a generously proportioned gentleman named Louie -- rolling with us.  Looking like an old-school mafia gent he spoke with the \"man in charge\" of letting people in.  Whatever Louie mumbled in that person's ear enabled us to bypass a group of overly-bored people in line.  Who knows how long they must've waited to get into this Night at the Roxbury-inspired club but we got inside in 5 minutes.\n\nOnce inside our $125 each enabled us to get a roped-off private booth with bottles of Jack Grey Goose countless other streams of steady alcohol and of course cranberry and orange juice.\n\nApparently Louie gave the bouncer who was in charge or securing the booths so that no one came in some money to bring girls over to party with us.  Hey cool!  Only these are not the kind of girls that I would normally talk to in the outside world and honestly probably wouldn't be interested in me the type that would be interested in me either.  One of the other groomsmen and myself noticed that some of the bachelor party participants went out and met girls in the dancefloor and bar areas. We thought to ourselves it might be a good idea to do the same.  The whole club scene at Pure is plastic.  I'm not sure if this is the kind of girls this club attracts or if this is what is necessary for seemingly \"everyday-looking\" girls to look like to get into this club. \n\nOur search turned up fruitless until much later in the night. We had met two frualeins who were attractive and in such attire that would suggest they were as out of place as we two were.  While chatting them up a third friend joined of theirs joined us.  I asked my fellow Groomsman-in-Crime if he thought it would be a good idea to invite them back to our booth with all the rest of us.  Afterall some of the other guys were doing it and there were also the ones that the bouncers just handed over to us like napkins for us to use.\n\nWe agreed to ask if they wanted to come over to our booth for drinks.  They accepted our offer and walked with us towards our roped off booth.  Here's where the problem starts and why the stigma I have towards PURE encouraged me to give my first 1-star review.\n\nI asked the 6'5\" linebacker-framed bouncer if it was ok to bring the 3 girls we met into our booth.  He did the patented looking up-and-down sizing up of the girls and turned to me and said \"No.\"  \n\nYes I knew why he said no. These weren't club-caliber girls. They were pretty just not very \"revealing\" in their attire.\n\nThe rest of the conversation goes like this:\n\nMe:  Why not?\n\nBig Bouncer:  Because they're not pretty enough.\n\nMe:  Huh? They're pretty to me.\n\nBig Bouncer:  Louie said to bring only pretty girls. I don't think he'd think they would qualify.\n\nMe:  (Not really knowing Louie that well but felt qualified to speak as if I did)  But Louie would be happy if I'm happy.\n\nBig Bouncer: (Looking at them one more time to see if maybe he overlooked something he didn't catch the first time around)  Bro look at the girls that are already there.\n\nMe: (Looking at what I already knew. This time seeing boobs nearly hanging out of their tops and ass cheeks playing \"peek-a-boo\" out of their short hiked up skirts.) Yeah. They're just not my type.\n\n-Nearly giving up I start to ask...-\n\nWell can I at least fix them some drinks?\n\nI must've score what amounted to a small victory because he gave me that \"I give up arguing with you\" look and agreed to my request.  Yes the drinks that I helped pay for.  What a guy!\n\nAs I turn back to address the situation to the girls I had not realized they were so close behind me.  I sort of knew then that they were close enough to have heard everything.  I asked if they wanted me to fix them drinks.  They politely said they were tired and were going to head home.\n\nUgh.\n\nGee PURE. You managed to screw up the one good thing the night had going for it. I guess if I wasn't rollin' with a posse that included Big Louie and $125 just to get in I probably wouldn't be Pure-worthy for your nightlcub.\n\nCongratulations!!  Your classlessness and lackluster dancefloor just earned you my very first 1-star review.  Karma's a bitch."
negative,"My high expectations were met with disappointment. The food was just okay for me. The meal was rather forgettable nothing really stood out enough for me me to say \"I'd order this again!\"\n\nThe dinner service got off on a very rough start when they refused to seat our party of 11. They refused to seat us because 1 out of 11 of us was running late. ONE person out of 11......does that even make any f'kng sense?\n\nThe 2 doctors in our party tried repeatedly to request to the servers and even the manager but they refused and kept us waiting at the small narrow bar area for almost 45 mins. Some of us got tipsy while waiting for our tables while most of us just got agitated for having to wait so long. \n\nIt would've been 35 min wait but the manager seemed to be OCD or unsatisfied w\/the table set-up so he made the staff move and rearrange our tables further down from the its original location. Tacking on additional wait time for us at the cramped bar. \n\nAs I said earlier the food was alright. Nothing spectacular nothing memorable.\n\nCHICKEN PAIGE ($26.95): \nhttp:\/\/www.yelp.com\/biz_photos\/bjSC_jbrypke0l-bXXBmwQ?select=DFV2Zg8N6ZaECfizTAIddA\nScallopined\/thinly cut chicken breasts lightly breaded and pan-fried in a lemon butter sauce. The menu also listed capers and sundried tomatoes cooked into the sauce but I found cooked down regular tomatoes. No biggie. The portion size was generous and it was tasty. \n\nFRESH FISH A LA NAGE (halibut was the fish special that night $36.95) \nThe halibut filet was stuffed w\/jumbo lump crab meat and served w\/baby vegetables. \nI didn't get a chance to take a pic of it but I was able to steal a couple fork-fulls. \n\nThe under-seasoned halibut was unevenly cooked some parts were dry and overcooked. \nI'm not so sure if the \"a la nage\" or poaching part was entirely true. \nPerhaps the poaching liquid or \"nage\" was just used to dress the fish after it's been cooked. \n\nJUMBO LUMP CRAB CAKES (1 crab cake for $19.95): \nhttp:\/\/www.yelp.com\/biz_photos\/bjSC_jbrypke0l-bXXBmwQ?select=vMTQgbpbzaTeSUFUAhOp5A\n\nYes you read that right. It's $19 for ONE crab cake. \nThe crab cake was topped off with additional crab meat and a chive buerre blanc. \n\nFor me a good buerre blanc should be light and airy yet rich and thick enough to coat whatever food it's drizzled on. \n\nThis sauce was darker and more orange I've never seen any buerre blanc (means \"white butter\" in French cooking) that dark before. It looked very similar to the sundried tomato sauce that was in my Chicken Paige dish. \nhttp:\/\/www.yelp.com\/biz_photos\/bjSC_jbrypke0l-bXXBmwQ?select=DFV2Zg8N6ZaECfizTAIddA#DFV2Zg8N6ZaECfizTAIddA\n\nBROILED PORTABELLO MUSHROOMS W\/RED WINE VINAIGRETTE ($9.95):\nhttp:\/\/www.yelp.com\/biz_photos\/bjSC_jbrypke0l-bXXBmwQ?select=07F2D7XHPQxYjnyOYYg6zw\nDressed w\/basil oil fresh diced tomatoes and \"fresh mozzarella.\" \nThe mozzarella had no flavor and was a bit on the dry side. Some cubes crumbled very easily almost like feta cheese. \n\nWhen I see \"fresh mozzarella\" on the menu I'm expecting the cheese to have a higher moisture content resulting in a more soft to semi-soft cheese. This was not the case. \n\nRAW OYSTERS (6 for $14.95):\nPlump fresh oysters. 'Nuff said.\n\nOYSTERS ROCKERFELLER (6 for $15.95):\nEveryone raves about this dish so of course we had to get a couple orders for our large party. It was okay. I got chopped herbs bread crumbs and butter. I wasn't wowed by this dish. \n\nFRIED OYSTERS w\/malt vinegar tartar sauce (6 for $11.95): \nhttp:\/\/www.yelp.com\/biz_photos\/bjSC_jbrypke0l-bXXBmwQ?select=NwbMJiBs__-RuwiMIjRLLA\nOut of the 3 oyster dishes this was the one I was looking forward to. Like the raw oyster and oyster rockerfeller these fried oysters were also plump and juicy. \n\nThe crust (although very greasy) had a nice crunch to it but that's where the buck stops. \nThere's nothing more unappetizing than biting into a crunchy fried oyster only to be disappointed when you find out that you're chewing on some RAW BATTER. \nPerhaps they should go back to the basics and use deep-fryer thermometer? Just a thought. \n\nFRESH SPINACH SALAD ($8.95):\nhttp:\/\/www.yelp.com\/biz_photos\/bjSC_jbrypke0l-bXXBmwQ?select=MWLoXcv3T_MXTLgqCp2Ubg\nThis was a favorite amongst most of us (I only got input from our side of the long table the other half of our large party didn't mention anything about it). \n\nThis spinach salad had a mixture of chopped bacon eggs kalamata olives and artichokes. That's my kind of salad! Can't go wrong with crispy bacon! The citrus vinaigrette was the perfect addition to the salty bacon and kalamata olives. I enjoyed this dish very much. \n\nIronic that my favorite part of the entire meal was a damn salad.....especially when I don't even like veggies. That's actually the very section that I avoid like the plague when I dine out."
negative,"Beware of bed bugs at cosmopolitan!  We came here in October and everyone in our room got bit.   We even found one on the bed and crushed it.   A lot of blood that belonged to us came out of the bed bug.\n\nI understand even some of the best hotels may get bed bugs  but what is more infuriating is their lack of response to our claims.   We have been getting the run around from their staff for months.  \n\nAll we asked them to do was to compensate us for the inconvenience and a bed bug heater that we had to purchase on amazon to treat all our luggage and clothes.  So far  we have received a few false promises to help and it has already been almost 4 months.  They now ignore all our emails.   We expect a lot more from a supposed premium hotel."
negative,"We arrived at 5:00 pm to check-in and were told by the front desk agent that our room wasn't ready yet and that they couldn't give us an estimate of when it would be. The hotel's check-in time is 3:00 pm. In order to compensate us they gave us a $150 discretionary account to use on whatever we wanted in the hotel as well as an upgrade from our terrace suite to a wraparound suite. We believed this was more than fair and were perfectly happy to wait until our upgraded room was ready. When we were notified that it was we checked in and the agent confirmed with us the $150 account.\n\nAfter a lovely Saturday night of enjoying the admittedly beautiful view provided by our upgraded room and the drinks from the bar paid for by the $150 discretionary account we cleaned up and checked out at 12:00 noon. \n\nThe front desk agent told us that we would be charged $94 for incidental expenses beyond what was provided by the hotel. We knew that it was highly unlikely for us to have spent that much money that night and asked for a receipt accordingly. The agent pulled it up and told us that the hotel had originally given us $50 not the $150 figure which we had been told - twice! After I corrected her she brought in the front desk manager David Bayley who told us that he couldn't do anything and that we'd have to wait until 5:00 pm for yesterday's front desk manager to arrive so that she could sort out the issue.\n\nAfter coming back at 5:30 we asked a front desk agent Kira if we could speak to yesterday's front desk manager. She said that yesterday's manager wasn't there and that we should talk to her instead. What followed from Kira was an extremely condescending if superficially pleasant treatment of us implying that we were lucky enough to have been upgraded to a different room and that we should have been happy with what we received. Eventually she deigned to give us an additional $50 comp credit out of \"good will\" but refused to do anything else telling us that she'd ask the original agent we received the $150 credit from later to verify our story and that she'd follow up with us via email.\n\nWe of course were profoundly skeptical that anything would be resolved over email and asked to speak again to the manager David. After Kira briefed David about our complaint he came out to tell us essentially to leave the hotel and be happy with what we already received. Only after requesting to speak to David's superior did he finally decide to call the original agent to confirm our story. He told us that the original agent couldn't remember the amount she had compensated us and that they'd cancel out our balance of $94.\n\nFirst of all this incident shows a stunning lack of integrity by the front desk agents. They had first told us to wait until 5:00 pm for a manager that never showed up then told us to leave Vegas while they investigated the incident and that they'd follow up via e-mail and finally that they'd give us a $50 credit out of \"good will\" - admitting no wrongdoing - and that we should just leave. The entire time we felt that they were trying to delay and make it as inconvenient for us as possible so that we'd leave without the issue being resolved. Only after threatening to escalate the issue to upper management did the David take any substantive steps to solve the problem.\n\nSecond was the painfully condescending attitude of the front desk. Kira and David seemed to believe that $94 was a great deal of money to us. It wasn't. They didn't understand that our complaint was about the principle that we shouldn't have to pay extra for administrative mistakes made by the staff. They told us that they'd give us a $50 credit to our account out of \"good will\" with all the smug superiority an aristocrat might throw a dime to a beggar treating us as though we were simply haggling to get the best deal we could. \n\nFinally the whole incident reflects the sheer incompetence of the front desk. Even if they believed that we were lying about the original $150 credit which certainly was the impression we received good business sense behooves them to simply cancel out our balance. $94 is nothing compared to the thousands of dollars they're going to forgo via our entire network of friends who will never again stay at the Cosmopolitan. \n\nAt the very end after they finally canceled out our balance I asked for Kira and David's business cards so that I knew whose names to mention to the world. David to his credit wrote down his name and contact information on a slip of paper. Kira however wrote but one word on a slip she handed me - \"Kira\". No last name no phone number no email address. My friends and I couldn't help but laugh at the cowardice she displayed through that simple omission. Anyone decent person doing his or her job competently and with integrity has nothing to hide - unfortunately Kira seemed to lack both.\n\nDon't stay at the Cosmo. Your dignity is more important than having a nice view."
negative,"Latest visit continues to be terrible.\n\nStayed here 1 night because my friend had a comp'd room it was a nice suite with a balcony. Nice room very expensive though for what you get. The check-in process was an absolute nightmare spent over 30min waiting in line to check-in. Since we arrived earlier than the 3pm check-in time we were given keys and told that they will txt us when our room was ready. So we decided to get grub and come back. About an hour later we get a txt that the room is ready the room number and our keys have been activated. That's nice. So we walk straight to our room and the key doesn't work. We talked to one of the housekeeping ladies and she tells us this happens all the time!!! WHAT? all the time?? That means the system is sh*t! \n\nSo we called the front desk to have they call someone to come up and help us with the keys. 10min later nothing. So my friend went downstairs to talk to the front desk once again long line to get any assistance. The front desk did issue new keys and we were able to get into the room. It was not until 45min later did we get a call saying that they now have someone available to help us get into the room. Wow so if we had waited it would have been almost an hour. \n\nWifi was insanely slow service was terrible carpet was dirty couch was sticky: god knows what other people were doing on the couch. Disgusting!"
negative,"I came to grab dinner at this Japanese restaurant with fellow Yelper Kurdy S and the experience was a big disappointment. I was initially impressed by the sleek horizontal interior that included an outdoor patio sushi bar bar area and a long stretch of booths and tables. The restaurant was relatively quiet considering the small and large groups of families that were dining there. They also have a few TVs for those eager to keep track of games and scores.\n\nWe ordered the Toyko Frites ($7) that came with shoestring fries sprinkled with seaweed and served with honey jalapeno and spicy aioli dips. The fries tasted rather ordinary and plain. The dips were very simplistic without hints of complexity. I don't think I would pay that much for fries to go with mayo-siracha dip. \n\nThe Assorted Sushi Platter ($18) came with eight pieces of spicy tuna roll and nigiri that included unagi ika sake tai maguro white fish and ebi. The fish selection was ordinary and on the cheap side. The flavors were rather bland with dry spots and I thought the red snapper had already turned. \n\nI was particularly offended by my order of Ikura ($6) that was served half done! Apparently the sushi chef had run out of salmon roe. He then had the audacity to serve a half way done Ikura and told me that I would be charged half the price for it. Presentation and precision are such a big part of the dining experience in Japanese cuisine. The restaurant should have let me know about this in advance and ask if there is anything else that I would rather have in its place. My face turned as red as the maguro when the order arrived at the table. I had the server to take it off the bill.\n\nService was grounded in Western paradigm and not very thoughtful at all. Prices were too inflated and the quality from food to service was sub par. I left in disappointment and will never want to come back here again."
